repeat,fold,representation,selector,budget,model,selected_features,best_params,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,runtime_seconds,pca_explained_variance
1,1,full,none,24,logistic_regression,"[""age"", ""bp"", ""sg"", ""al"", ""su"", ""rbc"", ""pc"", ""pcc"", ""ba"", ""bgr"", ""bu"", ""sc"", ""sod"", ""pot"", ""hemo"", ""pcv"", ""wc"", ""rc"", ""htn"", ""dm"", ""cad"", ""appet"", ""pe"", ""ane""]","{""model__C"": 10.0, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.23860654199961573,
1,1,full,none,24,svm_rbf,"[""age"", ""bp"", ""sg"", ""al"", ""su"", ""rbc"", ""pc"", ""pcc"", ""ba"", ""bgr"", ""bu"", ""sc"", ""sod"", ""pot"", ""hemo"", ""pcv"", ""wc"", ""rc"", ""htn"", ""dm"", ""cad"", ""appet"", ""pe"", ""ane""]","{""model__C"": 0.5, ""model__class_weight"": null, ""model__gamma"": ""scale""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.435593375004828,
1,1,full,none,24,random_forest,"[""age"", ""bp"", ""sg"", ""al"", ""su"", ""rbc"", ""pc"", ""pcc"", ""ba"", ""bgr"", ""bu"", ""sc"", ""sod"", ""pot"", ""hemo"", ""pcv"", ""wc"", ""rc"", ""htn"", ""dm"", ""cad"", ""appet"", ""pe"", ""ane""]","{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,2.778355707996525,
1,1,full,none,24,xgboost,"[""age"", ""bp"", ""sg"", ""al"", ""su"", ""rbc"", ""pc"", ""pcc"", ""ba"", ""bgr"", ""bu"", ""sc"", ""sod"", ""pot"", ""hemo"", ""pcv"", ""wc"", ""rc"", ""htn"", ""dm"", ""cad"", ""appet"", ""pe"", ""ane""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 150}",1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.2878398329921765,
1,1,selected,mutual_information,8,logistic_regression,"[""hemo"", ""pcv"", ""rc"", ""sc"", ""al"", ""sg"", ""dm"", ""sod""]","{""model__C"": 10.0, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.1578935829893453,
1,1,selected,mutual_information,8,svm_rbf,"[""hemo"", ""pcv"", ""rc"", ""sc"", ""al"", ""sg"", ""dm"", ""sod""]","{""model__C"": 8.0, ""model__class_weight"": ""balanced"", ""model__gamma"": ""scale""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.3063257909961976,
1,1,selected,mutual_information,8,xgboost,"[""hemo"", ""pcv"", ""rc"", ""sc"", ""al"", ""sg"", ""dm"", ""sod""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 150}",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,24,0,0,40,0.20518320800329093,
1,1,selected,mutual_information,6,logistic_regression,"[""hemo"", ""pcv"", ""rc"", ""sc"", ""al"", ""sg""]","{""model__C"": 10.0, ""model__class_weight"": null}",0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.1119585830019787,
1,1,selected,mutual_information,6,svm_rbf,"[""hemo"", ""pcv"", ""rc"", ""sc"", ""al"", ""sg""]","{""model__C"": 8.0, ""model__class_weight"": null, ""model__gamma"": ""scale""}",0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.19919837500492577,
1,1,selected,mutual_information,6,xgboost,"[""hemo"", ""pcv"", ""rc"", ""sc"", ""al"", ""sg""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 150}",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,24,0,0,40,0.16786483299802057,
1,1,selected,mutual_information,4,logistic_regression,"[""hemo"", ""pcv"", ""rc"", ""sc""]","{""model__C"": 10.0, ""model__class_weight"": null}",0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9718749999999999,0.9887644621638526,23,1,2,38,0.10943550000956748,
1,1,selected,mutual_information,4,svm_rbf,"[""hemo"", ""pcv"", ""rc"", ""sc""]","{""model__C"": 8.0, ""model__class_weight"": null, ""model__gamma"": 0.1}",0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9781249999999999,0.990117119722383,23,1,2,38,0.19955620799737517,
1,1,selected,mutual_information,4,xgboost,"[""hemo"", ""pcv"", ""rc"", ""sc""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 300}",0.96875,0.975,0.9583333333333334,0.975,0.975,0.99375,0.9964612470862472,23,1,1,39,0.17440591601189226,
1,1,selected,wrapper_rfe,8,logistic_regression,"[""hemo"", ""al"", ""dm"", ""sg"", ""pcv"", ""appet"", ""htn"", ""sc""]","{""model__C"": 1.0, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.17506079100712668,
1,1,selected,wrapper_rfe,8,svm_rbf,"[""hemo"", ""al"", ""dm"", ""sg"", ""pcv"", ""appet"", ""htn"", ""sc""]","{""model__C"": 0.5, ""model__class_weight"": null, ""model__gamma"": ""scale""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.31562970799859613,
1,1,selected,wrapper_rfe,8,xgboost,"[""hemo"", ""al"", ""dm"", ""sg"", ""pcv"", ""appet"", ""htn"", ""sc""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 150}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.20824170899868477,
1,1,selected,wrapper_rfe,6,logistic_regression,"[""hemo"", ""al"", ""dm"", ""sg"", ""pcv"", ""appet""]","{""model__C"": 10.0, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.16443566700036172,
1,1,selected,wrapper_rfe,6,svm_rbf,"[""hemo"", ""al"", ""dm"", ""sg"", ""pcv"", ""appet""]","{""model__C"": 0.5, ""model__class_weight"": ""balanced"", ""model__gamma"": ""scale""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.3008457499963697,
1,1,selected,wrapper_rfe,6,xgboost,"[""hemo"", ""al"", ""dm"", ""sg"", ""pcv"", ""appet""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 150}",0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.20229383300465997,
1,1,selected,wrapper_rfe,4,logistic_regression,"[""hemo"", ""al"", ""dm"", ""sg""]","{""model__C"": 10.0, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.1560124999959953,
1,1,selected,wrapper_rfe,4,svm_rbf,"[""hemo"", ""al"", ""dm"", ""sg""]","{""model__C"": 0.5, ""model__class_weight"": ""balanced"", ""model__gamma"": ""scale""}",0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.289748541006702,
1,1,selected,wrapper_rfe,4,xgboost,"[""hemo"", ""al"", ""dm"", ""sg""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 150}",0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.19188529100210872,
1,1,selected,permutation_importance,8,logistic_regression,"[""sg"", ""hemo"", ""al"", ""sc"", ""dm"", ""htn"", ""pcv"", ""age""]","{""model__C"": 1.0, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.1645769580063643,
1,1,selected,permutation_importance,8,svm_rbf,"[""sg"", ""hemo"", ""al"", ""sc"", ""dm"", ""htn"", ""pcv"", ""age""]","{""model__C"": 8.0, ""model__class_weight"": null, ""model__gamma"": ""scale""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.29926425000303425,
1,1,selected,permutation_importance,8,xgboost,"[""sg"", ""hemo"", ""al"", ""sc"", ""dm"", ""htn"", ""pcv"", ""age""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 150}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.205046917006257,
1,1,selected,permutation_importance,6,logistic_regression,"[""sg"", ""hemo"", ""al"", ""sc"", ""dm"", ""htn""]","{""model__C"": 0.1, ""model__class_weight"": null}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.16338116599945351,
1,1,selected,permutation_importance,6,svm_rbf,"[""sg"", ""hemo"", ""al"", ""sc"", ""dm"", ""htn""]","{""model__C"": 0.5, ""model__class_weight"": null, ""model__gamma"": ""scale""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.2986872090114048,
1,1,selected,permutation_importance,6,xgboost,"[""sg"", ""hemo"", ""al"", ""sc"", ""dm"", ""htn""]","{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 150}",1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,24,0,0,40,0.2075592500041239,
