fold,model,method,brier,log_loss,ece_10_bin
1,classical_rbf_svm,platt,0.00504698809073296,0.04678368487960892,0.04377843669363367
1,classical_rbf_svm,isotonic,0.004358315653312871,0.011735623971272646,0.00825229099965336
1,qsvc,platt,0.007880468861963644,0.055545352220056465,0.050469267100820045
1,qsvc,isotonic,0.01562499687501,0.25184534299195294,0.015624971875000048
2,classical_rbf_svm,platt,0.012600374083136192,0.07405749982721767,0.06584219021440607
2,classical_rbf_svm,isotonic,0.0007932835434467022,0.00398928952706469,0.0035207596490057546
2,qsvc,platt,0.02651988077986959,0.11408105828695034,0.06255760047639619
2,qsvc,isotonic,0.029245131143242786,0.29423129002260523,0.030213067929152838
3,classical_rbf_svm,platt,0.005245489227992349,0.047891930985674014,0.0447669681809189
3,classical_rbf_svm,isotonic,0.00163259398332546,0.006100769631823491,0.005050769777956322
3,qsvc,platt,0.019239100326179318,0.10086934021278152,0.07534186127552973
3,qsvc,isotonic,0.01680200192595996,0.050795837584043005,0.01936596424648005
4,classical_rbf_svm,platt,0.006389343538977259,0.05752431917229667,0.053655175371717864
4,classical_rbf_svm,isotonic,0.0009776569135192556,0.004498048710822984,0.003908536651618887
4,qsvc,platt,0.006084807610145438,0.0628955313042808,0.059486750880936856
4,qsvc,isotonic,9.999999991446716e-15,1.0000000494736474e-07,9.999999996710276e-08
5,classical_rbf_svm,platt,0.007468484579992394,0.05905724419568974,0.054495349391734664
5,classical_rbf_svm,isotonic,4.308365499214617e-05,0.0008429021411338416,0.0008205751946957304
5,qsvc,platt,0.016756307051206766,0.0888089537445624,0.066665703152023
5,qsvc,isotonic,0.019531246875009844,0.26267576611747767,0.023437523437500035
