disease,repeat,fold,budget,model,fit_seconds,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
Cleveland heart disease,1,1,13,classical_rbf_svm,0.0016170829912880436,0.8360655737704918,0.7142857142857143,0.9393939393939394,0.9090909090909091,0.8,0.8798701298701299,0.8970260488706571,31,2,8,20
Cleveland heart disease,1,1,8,classical_rbf_svm,0.0011163750023115426,0.8688524590163934,0.75,0.9696969696969697,0.9545454545454546,0.84,0.8831168831168831,0.8923642682206548,32,1,7,21
Cleveland heart disease,1,1,8,qsvc,0.3169959170045331,0.7704918032786885,0.6785714285714286,0.8484848484848485,0.7916666666666666,0.7307692307692307,0.8625541125541125,0.854819490898029,28,5,9,19
Cleveland heart disease,1,1,6,classical_rbf_svm,0.003047250007512048,0.7704918032786885,0.7142857142857143,0.8181818181818182,0.7692307692307693,0.7407407407407407,0.8311688311688312,0.8312317541854427,27,6,8,20
Cleveland heart disease,1,1,6,qsvc,0.26917683400097303,0.7049180327868853,0.6428571428571429,0.7575757575757576,0.6923076923076923,0.6666666666666666,0.762987012987013,0.749681894899807,25,8,10,18
Cleveland heart disease,1,2,13,classical_rbf_svm,0.0012835840025218204,0.8524590163934426,0.7857142857142857,0.9090909090909091,0.88,0.8301886792452831,0.920995670995671,0.9345255676001017,30,3,6,22
Cleveland heart disease,1,2,8,classical_rbf_svm,0.0011592500086408108,0.8688524590163934,0.8214285714285714,0.9090909090909091,0.8846153846153846,0.8518518518518519,0.9145021645021645,0.9282141167901922,30,3,5,23
Cleveland heart disease,1,2,8,qsvc,0.40370249999978114,0.7868852459016393,0.75,0.8181818181818182,0.7777777777777778,0.7636363636363637,0.8398268398268397,0.8275318863264549,27,6,7,21
Cleveland heart disease,1,2,6,classical_rbf_svm,0.0012619170011021197,0.8688524590163934,0.8214285714285714,0.9090909090909091,0.8846153846153846,0.8518518518518519,0.8966450216450217,0.9138237146459197,30,3,5,23
Cleveland heart disease,1,2,6,qsvc,0.3056988330063177,0.7868852459016393,0.75,0.8181818181818182,0.7777777777777778,0.7636363636363637,0.8046536796536797,0.768517626520086,27,6,7,21
Cleveland heart disease,1,3,13,classical_rbf_svm,0.0018648330005817115,0.8360655737704918,0.7142857142857143,0.9393939393939394,0.9090909090909091,0.8,0.8874458874458875,0.8979006437581618,31,2,8,20
Cleveland heart disease,1,3,8,classical_rbf_svm,0.0010271670034853742,0.819672131147541,0.6785714285714286,0.9393939393939394,0.9047619047619048,0.7755102040816326,0.882034632034632,0.8893902309424696,31,2,9,19
Cleveland heart disease,1,3,8,qsvc,0.4648613750032382,0.8032786885245902,0.7142857142857143,0.8787878787878788,0.8333333333333334,0.7692307692307693,0.8679653679653679,0.8417446119127039,29,4,8,20
Cleveland heart disease,1,3,6,classical_rbf_svm,0.0009830419876379892,0.8032786885245902,0.6785714285714286,0.9090909090909091,0.8636363636363636,0.76,0.876082251082251,0.8747176268638533,30,3,9,19
Cleveland heart disease,1,3,6,qsvc,0.32399858300050255,0.7868852459016393,0.7142857142857143,0.8484848484848485,0.8,0.7547169811320755,0.8446969696969697,0.8325356713826189,28,5,8,20
Cleveland heart disease,1,4,13,classical_rbf_svm,0.0013441670016618446,0.8333333333333334,0.8888888888888888,0.7878787878787878,0.7741935483870968,0.8275862068965517,0.8866442199775534,0.8278807566591253,26,7,3,24
Cleveland heart disease,1,4,8,classical_rbf_svm,0.0012698329956037924,0.8333333333333334,0.8518518518518519,0.8181818181818182,0.7931034482758621,0.8214285714285714,0.8911335578002244,0.8501855909549312,27,6,4,23
Cleveland heart disease,1,4,8,qsvc,0.4366934170102468,0.75,0.9259259259259259,0.6060606060606061,0.6578947368421053,0.7692307692307693,0.9236812570145903,0.9183597371617664,20,13,2,25
Cleveland heart disease,1,4,6,classical_rbf_svm,0.001406499999575317,0.8166666666666667,0.8518518518518519,0.7878787878787878,0.7666666666666667,0.8070175438596491,0.9012345679012345,0.8707638171379595,26,7,4,23
Cleveland heart disease,1,4,6,qsvc,0.3043492500000866,0.7333333333333333,0.8518518518518519,0.6363636363636364,0.6571428571428571,0.7419354838709677,0.8552188552188552,0.8475589929221321,21,12,4,23
Cleveland heart disease,1,5,13,classical_rbf_svm,0.0012230419961269945,0.8333333333333334,0.8214285714285714,0.84375,0.8214285714285714,0.8214285714285714,0.9430803571428572,0.9424678102610939,27,5,5,23
Cleveland heart disease,1,5,8,classical_rbf_svm,0.001297750000958331,0.8166666666666667,0.8571428571428571,0.78125,0.7741935483870968,0.8135593220338984,0.9162946428571429,0.9194020748050431,25,7,4,24
Cleveland heart disease,1,5,8,qsvc,0.37770200001250487,0.8,0.7857142857142857,0.8125,0.7857142857142857,0.7857142857142857,0.8560267857142856,0.8359301083621218,26,6,6,22
Cleveland heart disease,1,5,6,classical_rbf_svm,0.00105516699841246,0.85,0.8571428571428571,0.84375,0.8275862068965517,0.8421052631578947,0.9229910714285714,0.9238006364067659,27,5,4,24
