repeat,fold,budget,features
1,1,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
1,1,8,"cp,ca,slope,oldpeak,thalach,fbs,thal,sex"
1,1,6,"cp,ca,slope,oldpeak,thalach,fbs"
1,2,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
1,2,8,"cp,thal,oldpeak,slope,exang,ca,sex,chol"
1,2,6,"cp,thal,oldpeak,slope,exang,ca"
1,3,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
1,3,8,"cp,oldpeak,thal,ca,exang,slope,thalach,restecg"
1,3,6,"cp,oldpeak,thal,ca,exang,slope"
1,4,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
1,4,8,"thal,ca,oldpeak,exang,cp,thalach,slope,age"
1,4,6,"thal,ca,oldpeak,exang,cp,thalach"
1,5,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
1,5,8,"cp,thal,ca,slope,oldpeak,thalach,sex,chol"
1,5,6,"cp,thal,ca,slope,oldpeak,thalach"
2,1,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
2,1,8,"thal,ca,cp,exang,thalach,oldpeak,chol,trestbps"
2,1,6,"thal,ca,cp,exang,thalach,oldpeak"
2,2,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
2,2,8,"cp,ca,oldpeak,exang,thalach,slope,thal,chol"
2,2,6,"cp,ca,oldpeak,exang,thalach,slope"
2,3,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
2,3,8,"thal,ca,cp,oldpeak,chol,sex,exang,slope"
2,3,6,"thal,ca,cp,oldpeak,chol,sex"
2,4,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
2,4,8,"thal,cp,exang,thalach,oldpeak,ca,slope,sex"
2,4,6,"thal,cp,exang,thalach,oldpeak,ca"
2,5,13,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal"
2,5,8,"cp,ca,thal,slope,thalach,oldpeak,exang,chol"
2,5,6,"cp,ca,thal,slope,thalach,oldpeak"
