fold,stress_seed,missingness_fraction,added_train_cells,added_valid_cells,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds
1,0,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021670799469575286
1,0,0.0,0,0,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.13423804099147674
1,0,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023341599444393069
1,0,0.05,95,24,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.10837024998909328
1,0,0.1,190,48,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.00021833300706930459
1,0,0.1,190,48,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.15790129100787453
1,0,0.2,379,96,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023283399059437215
1,0,0.2,379,96,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9916666666666667,0.9958333333333333,24,0,2,38,0.10387412499403581
1,1,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021433400979731232
1,1,0.0,0,0,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.13242774999525864
1,1,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002164170000469312
1,1,0.05,95,24,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.10132462499313988
1,1,0.1,190,48,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002698339958442375
1,1,0.1,190,48,qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.13673429199843667
1,1,0.2,379,96,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,0.996875,0.9975900116144021,24,0,2,38,0.0002663749910425395
1,1,0.2,379,96,qsvc,0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9958333333333333,0.9969897883124628,23,1,2,38,0.11398587499570567
1,2,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021762499818578362
1,2,0.0,0,0,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.14044108300004154
1,2,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021783298871014267
1,2,0.05,95,24,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9958333333333333,0.9977272727272728,24,0,1,39,0.10032783400674816
1,2,0.1,190,48,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002340829960303381
1,2,0.1,190,48,qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.10481066700594965
1,2,0.2,379,96,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.00024412499624304473
1,2,0.2,379,96,qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,0.9989583333333333,0.9993902439024392,23,1,0,40,0.1352686669997638
2,0,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00031370899523608387
2,0,0.0,0,0,qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.10395583300851285
2,0,0.05,96,23,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002142080047633499
2,0,0.05,96,23,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.16992137501074467
2,0,0.1,191,46,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022708300093654543
