fold,stress_seed,noise_sd_fraction,model,flip_rate,sensitivity,roc_auc,sensitivity_delta,roc_auc_delta
1,0,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,0,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
1,0,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,0,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
1,0,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,0,0.1,qsvc,0.0,1.0,1.0,0.0,0.0
1,1,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,1,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
1,1,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,1,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
1,1,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,1,0.1,qsvc,0.015625,1.0,1.0,0.0,0.0
1,2,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,2,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
1,2,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,2,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
1,2,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
1,2,0.1,qsvc,0.0,1.0,1.0,0.0,0.0
2,0,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,0,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
2,0,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,0,0.05,qsvc,0.0,1.0,0.9989583333333334,0.0,-0.0010416666666666075
2,0,0.1,classical_rbf_svm,0.015625,1.0,1.0,0.0,0.0
2,0,0.1,qsvc,0.0,1.0,0.9979166666666666,0.0,-0.002083333333333437
2,1,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,1,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
2,1,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,1,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
2,1,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,1,0.1,qsvc,0.015625,1.0,1.0,0.0,0.0
2,2,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,2,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
2,2,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,2,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
2,2,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
2,2,0.1,qsvc,0.015625,1.0,0.9989583333333334,0.0,-0.0010416666666666075
3,0,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,0,0.01,qsvc,0.015625,0.975,1.0,0.025000000000000022,0.0
3,0,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,0,0.05,qsvc,0.015625,0.975,1.0,0.025000000000000022,0.0
3,0,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,0,0.1,qsvc,0.015625,0.925,0.9989583333333334,-0.02499999999999991,-0.0010416666666666075
3,1,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,1,0.01,qsvc,0.0,0.95,1.0,0.0,0.0
3,1,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,1,0.05,qsvc,0.0,0.95,1.0,0.0,0.0
3,1,0.1,classical_rbf_svm,0.015625,0.975,1.0,-0.025000000000000022,0.0
3,1,0.1,qsvc,0.015625,0.925,0.9989583333333334,-0.02499999999999991,-0.0010416666666666075
3,2,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,2,0.01,qsvc,0.0,0.95,1.0,0.0,0.0
3,2,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,2,0.05,qsvc,0.0,0.95,1.0,0.0,0.0
3,2,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
3,2,0.1,qsvc,0.015625,0.975,1.0,0.025000000000000022,0.0
4,0,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,0,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
4,0,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,0,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
4,0,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,0,0.1,qsvc,0.0,1.0,1.0,0.0,0.0
4,1,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,1,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
4,1,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,1,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
4,1,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,1,0.1,qsvc,0.0,1.0,1.0,0.0,0.0
4,2,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,2,0.01,qsvc,0.0,1.0,1.0,0.0,0.0
4,2,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,2,0.05,qsvc,0.0,1.0,1.0,0.0,0.0
4,2,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
4,2,0.1,qsvc,0.0,1.0,1.0,0.0,0.0
5,0,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,0,0.01,qsvc,0.0,0.975,0.996875,0.0,-0.0010416666666666075
5,0,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,0,0.05,qsvc,0.0,0.975,0.9979166666666666,0.0,0.0
5,0,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,0,0.1,qsvc,0.03125,0.975,0.996875,0.0,-0.0010416666666666075
5,1,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,1,0.01,qsvc,0.0,0.975,0.9979166666666666,0.0,0.0
5,1,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,1,0.05,qsvc,0.015625,0.975,0.9958333333333333,0.0,-0.002083333333333215
5,1,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,1,0.1,qsvc,0.0,0.975,0.9979166666666666,0.0,0.0
5,2,0.01,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,2,0.01,qsvc,0.0,0.975,0.9989583333333334,0.0,0.0010416666666668295
5,2,0.05,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,2,0.05,qsvc,0.0,0.975,0.9989583333333334,0.0,0.0010416666666668295
5,2,0.1,classical_rbf_svm,0.0,1.0,1.0,0.0,0.0
5,2,0.1,qsvc,0.015625,0.975,0.996875,0.0,-0.0010416666666666075
