model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0005110420024720952,8,1,1,0.0015299160004360601
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.13408016599714756,8,1,1,0.7043189999967581
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0003292079927632585,8,1,2,0.001284583006054163
qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.26254216699453536,8,1,2,0.5312844160071108
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002337079931749031,8,1,3,0.0013921659992774948
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.13854479198926128,8,1,3,0.5447580839972943
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002964589948533103,8,1,4,0.0007923329976620153
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.2625671669957228,8,1,4,0.4559765830053948
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023545799194835126,8,1,5,0.0014791249996051192
qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9979166666666666,0.9988095238095238,23,1,1,39,0.1263347500062082,8,1,5,0.5744643749931129
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00026087499281857163,8,2,1,0.0009224579989677295
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.26952112499566283,8,2,1,0.43925237499934155
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00025191700842697173,8,2,2,0.002115333001711406
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.1393778750061756,8,2,2,0.5525983749976149
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0004666660097427666,8,2,3,0.00153929200314451
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.999390243902439,24,0,1,39,0.2260070829943288,8,2,3,0.5086453749972861
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022724999871570617,8,2,4,0.0021880410058656707
qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.12586125000962056,8,2,4,0.5167213329987135
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.000455000001238659,8,2,5,0.0009324589918833226
qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.9927083333333333,0.9959415584415584,24,0,3,37,0.24607633300183807,8,2,5,0.46105729199189227
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023525000142399222,8,3,1,0.0013757499982602894
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.1212623750034254,8,3,1,0.5204672910040244
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0003148339892504737,8,3,2,0.0016506249958183616
