model,threshold,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical_rbf_svm,-1.385186716105534,0.645,1.0,0.05333333333333334,0.6377551020408163,0.778816199376947,1.0,1.0,64,1136,0,2000
classical_rbf_svm,-1.3286301893332326,0.665,1.0,0.10666666666666667,0.6510416666666666,0.7886435331230284,1.0,1.0,128,1072,0,2000
classical_rbf_svm,-1.2924815013441289,0.685,1.0,0.16,0.6648936170212766,0.7987220447284346,1.0,1.0,192,1008,0,2000
classical_rbf_svm,-1.2638903689458365,0.705,1.0,0.21333333333333335,0.6793478260869565,0.8090614886731392,1.0,1.0,256,944,0,2000
classical_rbf_svm,-1.240159325416719,0.725,1.0,0.26666666666666666,0.6944444444444444,0.819672131147541,1.0,1.0,320,880,0,2000
classical_rbf_svm,-1.2192547182296931,0.745,1.0,0.32,0.7102272727272727,0.8305647840531561,1.0,1.0,384,816,0,2000
classical_rbf_svm,-1.1945553296060545,0.765,1.0,0.37333333333333335,0.7267441860465116,0.8417508417508418,1.0,1.0,448,752,0,2000
classical_rbf_svm,-1.1727893128638454,0.785,1.0,0.4266666666666667,0.7440476190476191,0.8532423208191127,1.0,1.0,512,688,0,2000
classical_rbf_svm,-1.1499310144819772,0.805,1.0,0.48,0.7621951219512195,0.8650519031141869,1.0,1.0,576,624,0,2000
classical_rbf_svm,-1.1328853316299332,0.825,1.0,0.5333333333333333,0.78125,0.8771929824561403,1.0,1.0,640,560,0,2000
classical_rbf_svm,-1.111189038289483,0.845,1.0,0.5866666666666667,0.8012820512820513,0.8896797153024911,1.0,1.0,704,496,0,2000
classical_rbf_svm,-1.0972277986946808,0.865,1.0,0.64,0.8223684210526315,0.9025270758122743,1.0,1.0,768,432,0,2000
classical_rbf_svm,-1.0773897864396924,0.885,1.0,0.6933333333333334,0.8445945945945946,0.9157509157509157,1.0,1.0,832,368,0,2000
classical_rbf_svm,-1.0516392016653293,0.905,1.0,0.7466666666666667,0.8680555555555556,0.929368029739777,1.0,1.0,896,304,0,2000
classical_rbf_svm,-1.0125142235303304,0.925,1.0,0.8,0.8928571428571429,0.9433962264150944,1.0,1.0,960,240,0,2000
classical_rbf_svm,-0.9612318532047432,0.945,1.0,0.8533333333333334,0.9191176470588235,0.9578544061302682,1.0,1.0,1024,176,0,2000
classical_rbf_svm,-0.8855891454250708,0.965,1.0,0.9066666666666666,0.946969696969697,0.9727626459143969,1.0,1.0,1088,112,0,2000
classical_rbf_svm,-0.5151421959377154,0.985,1.0,0.96,0.9765625,0.9881422924901185,1.0,1.0,1152,48,0,2000
classical_rbf_svm,0.19023940114420074,0.995,0.992,1.0,1.0,0.9959839357429718,1.0,1.0,1200,0,16,1984
classical_rbf_svm,0.5269265597215915,0.975,0.96,1.0,1.0,0.9795918367346939,1.0,1.0,1200,0,80,1920
classical_rbf_svm,0.7385291583835898,0.955,0.928,1.0,1.0,0.9626556016597511,1.0,1.0,1200,0,144,1856
classical_rbf_svm,0.9379422259148579,0.935,0.896,1.0,1.0,0.9451476793248945,1.0,1.0,1200,0,208,1792
classical_rbf_svm,1.0044300820703242,0.915,0.864,1.0,1.0,0.927038626609442,1.0,1.0,1200,0,272,1728
classical_rbf_svm,1.0637588249049348,0.895,0.832,1.0,1.0,0.9082969432314411,1.0,1.0,1200,0,336,1664
classical_rbf_svm,1.1326673885479033,0.875,0.8,1.0,1.0,0.8888888888888888,1.0,1.0,1200,0,400,1600
classical_rbf_svm,1.1735163582456223,0.855,0.768,1.0,1.0,0.8687782805429864,1.0,1.0,1200,0,464,1536
classical_rbf_svm,1.2090770837424825,0.835,0.736,1.0,1.0,0.847926267281106,1.0,1.0,1200,0,528,1472
classical_rbf_svm,1.2456052778519793,0.815,0.704,1.0,1.0,0.8262910798122066,1.0,1.0,1200,0,592,1408
classical_rbf_svm,1.28785407465324,0.795,0.672,1.0,1.0,0.8038277511961722,1.0,1.0,1200,0,656,1344
classical_rbf_svm,1.3203925884612404,0.775,0.64,1.0,1.0,0.7804878048780488,1.0,1.0,1200,0,720,1280
classical_rbf_svm,1.3589213694143638,0.755,0.608,1.0,1.0,0.7562189054726368,1.0,1.0,1200,0,784,1216
classical_rbf_svm,1.3874119874235602,0.735,0.576,1.0,1.0,0.7309644670050761,1.0,1.0,1200,0,848,1152
classical_rbf_svm,1.4113322248949207,0.715,0.544,1.0,1.0,0.7046632124352331,1.0,1.0,1200,0,912,1088
classical_rbf_svm,1.4374235796256674,0.695,0.512,1.0,1.0,0.6772486772486772,1.0,1.0,1200,0,976,1024
classical_rbf_svm,1.4664689580036276,0.675,0.48,1.0,1.0,0.6486486486486487,1.0,1.0,1200,0,1040,960
classical_rbf_svm,1.492478204812651,0.655,0.448,1.0,1.0,0.6187845303867403,1.0,1.0,1200,0,1104,896
classical_rbf_svm,1.5192272773133,0.635,0.416,1.0,1.0,0.5875706214689266,1.0,1.0,1200,0,1168,832
classical_rbf_svm,1.548845639284604,0.615,0.384,1.0,1.0,0.5549132947976878,1.0,1.0,1200,0,1232,768
classical_rbf_svm,1.5749631352868865,0.595,0.352,1.0,1.0,0.5207100591715976,1.0,1.0,1200,0,1296,704
classical_rbf_svm,1.6091504035904907,0.575,0.32,1.0,1.0,0.48484848484848486,1.0,1.0,1200,0,1360,640
classical_rbf_svm,1.6357663063183971,0.555,0.288,1.0,1.0,0.4472049689440994,1.0,1.0,1200,0,1424,576
classical_rbf_svm,1.660817943752401,0.535,0.256,1.0,1.0,0.40764331210191085,1.0,1.0,1200,0,1488,512
