representation,budget,model,feature_map_config,fold_assessments,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,training_wall_seconds_mean,training_wall_seconds_std,model_fit_seconds_mean,model_fit_seconds_std,prediction_wall_seconds_mean,prediction_wall_seconds_std,train_kernel_seconds_mean,train_kernel_seconds_std,inference_kernel_seconds_mean,inference_kernel_seconds_std,kernel_evaluations_train_mean,kernel_evaluations_train_std,kernel_evaluations_inference_mean,kernel_evaluations_inference_std,qubit_count,circuit_depth,gate_count,reps,entanglement,kernel_backend,execution_mode,shots,pca_explained_variance
clinical,4,classical_rbf_svm,rbf,10,0.95625,0.02057126839388698,0.96,0.021081851067789197,0.95,0.043033148291193535,0.9702894431199951,0.025247394913254607,0.9648659030623629,0.016385071071223185,0.9775520833333333,0.012158852648328514,0.98954799833518,0.0051821793864834965,0.0007351374006248079,3.690797042840058e-05,0.0007351374006248079,3.690797042840058e-05,0.00026179579726886003,3.916825098225888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,none,scikit-learn libsvm RBF,classical CPU,,
clinical,4,qsvc,z_reps1,10,0.8921875,0.03489971993281449,0.8950000000000001,0.03291402943021919,0.8875,0.055728896243719114,0.9304128973448614,0.03315576866811872,0.9120807552142217,0.028546809958201514,0.95046875,0.021539605285889364,0.9748789110087428,0.011536312256164942,0.2721273998991819,0.02090837847199968,0.0006070249990443699,3.666767358387633e-05,0.10191249149938812,0.017430765520937842,0.27152037490013753,0.020898219597003203,0.10171021660062252,0.017427501450844082,32640.0,0.0,16384.0,0.0,4,2,8,1,none,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,4,qsvc,zz_reps1,10,0.7515625,0.06440246851937345,0.9175000000000001,0.05407042732502779,0.4750000000000001,0.1586011380402244,0.7481483306520789,0.058332685521522855,0.8226364175742941,0.042941482822551134,0.8218229166666667,0.05557749675232442,0.8792310465316383,0.03964838821062458,0.35842185000074095,0.02642702167523331,0.0007332876004511491,7.022907337985831e-05,0.10673737530014478,0.01353221590624072,0.3576885624002898,0.026406598280676798,0.10647965020179981,0.01351452035317599,32640.0,0.0,16384.0,0.0,4,17,26,1,full,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,4,qsvc,zz_reps2,10,0.6390625,0.03411358936211003,0.9574999999999999,0.028987545218210127,0.10833333333333335,0.07136240321480627,0.641895361358698,0.02090408960436841,0.7683741972438602,0.020645704333910067,0.7031770833333333,0.06632873789596717,0.798244370647968,0.046091023118381265,0.43122366659954425,0.02834666729180773,0.0007553831979748793,5.315735360778861e-05,0.1326031750009861,0.019992389220062384,0.43046828340156934,0.028313030384851647,0.13235487490164816,0.019999450014011395,32640.0,0.0,16384.0,0.0,4,31,52,2,full,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,6,classical_rbf_svm,rbf,10,0.99375,0.013176156917368247,1.0,0.0,0.9833333333333332,0.03513641844631534,0.9904761904761905,0.020077953397894494,0.9951219512195122,0.01028382978916547,1.0,0.0,1.0,1.2819751242557092e-16,0.0006586791991139762,2.444537404438952e-05,0.0006586791991139762,2.444537404438952e-05,0.0002036375997704454,8.30646016682961e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,none,scikit-learn libsvm RBF,classical CPU,,
clinical,6,qsvc,z_reps1,10,0.975,0.01976423537605237,0.975,0.026352313834736494,0.975,0.035136418446315335,0.9853048780487805,0.020600673902062435,0.979833715667049,0.01594085152485901,0.9936458333333335,0.006541246447932708,0.9967778893666926,0.0032925960187135434,0.31392794999846957,0.03571742331639126,0.0006498499977169558,8.845141035527607e-05,0.10772023730387445,0.01830017993631781,0.3132781000007526,0.035684876120426756,0.10750977100396994,0.018286672450524916,32640.0,0.0,16384.0,0.0,6,2,12,1,none,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,6,qsvc,zz_reps1,10,0.9234375,0.03788145113743371,0.9974999999999999,0.007905694150420955,0.8,0.09781564923143894,0.8948653221532108,0.04893598515645787,0.9428017311456763,0.027660811494101465,0.9944791666666667,0.004960540669581086,0.9968694766246811,0.0027822632045786935,0.4559340667998185,0.02698560152587194,0.0008712042006663978,5.130994727764164e-05,0.14200503319880226,0.017702149607982984,0.45506286259915213,0.026972553054268104,0.14174812919663965,0.017713791351572486,32640.0,0.0,16384.0,0.0,6,29,57,1,full,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,6,qsvc,zz_reps2,10,0.7171875,0.041307041789371564,1.0,0.0,0.2458333333333333,0.11015211143832418,0.6897286221375037,0.030805703684002067,0.8160213971471656,0.021735415862324137,0.8867708333333333,0.030010326476332255,0.9233326684113641,0.023409001857846102,0.6303929500034429,0.017201418105905256,0.0009768002026248723,0.00040095375286935096,0.18539466240181354,0.02336704199296259,0.629416149800818,0.01703366757212162,0.18513046670123004,0.023332308808339204,32640.0,0.0,16384.0,0.0,6,49,114,2,full,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,8,classical_rbf_svm,rbf,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0007463209010893479,0.00029755453658346815,0.0007463209010893479,0.00029755453658346815,0.000196808397595305,2.53303239580412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,none,scikit-learn libsvm RBF,classical CPU,,
clinical,8,qsvc,z_reps1,10,0.98125,0.017738944131173332,0.9825000000000002,0.026483747636784502,0.9791666666666666,0.03540985773328324,0.9879761904761905,0.02031536757575334,0.9848959219744957,0.014410997923412754,0.9989583333333332,0.002303211659969042,0.9994141326153521,0.001283553142125747,0.34637983340362555,0.018264462852081748,0.0006759125055395998,4.595394164516063e-05,0.11394293759949506,0.01732888293320192,0.34570392089808594,0.01827280187931584,0.11372770839952864,0.017322531448738902,32640.0,0.0,16384.0,0.0,8,2,16,1,none,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,8,qsvc,zz_reps1,10,0.9359375,0.032484304436484736,1.0,0.0,0.8291666666666668,0.086624811830626,0.9089417193464149,0.04509389620630729,0.9517857211894647,0.024149325891923566,0.9996875,0.0007030714142818482,0.9998199767711963,0.0004034507307816645,0.648448166801245,0.031050981518765446,0.0008648250994156114,7.572992842945236e-05,0.19321609159960645,0.017979799248922596,0.6475833417018293,0.031061400874260254,0.19296230420150096,0.017983779521083862,32640.0,0.0,16384.0,0.0,8,41,100,1,full,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
clinical,8,qsvc,zz_reps2,10,0.6546875,0.021411254990723404,1.0,0.0,0.07916666666666665,0.0570966799752624,0.6444076158579067,0.014364711532960091,0.7836733544636807,0.010581694651320793,0.95875,0.028797263887519017,0.971471574776872,0.02141592541858946,1.0001118585016229,0.017694827026034428,0.0009036502990056761,0.00010328472974952945,0.26997285850229674,0.013152818259562197,0.9992082082026172,0.017672208315856516,0.2696974248989136,0.013130514118587665,32640.0,0.0,16384.0,0.0,8,67,200,2,full,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,,
