shots,seed,mode,feature_map_config,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,training_wall_seconds,prediction_wall_seconds,train_kernel_seconds,replicate,sensitivity_delta_vs_ideal,specificity_delta_vs_ideal,f1_delta_vs_ideal,roc_auc_delta_vs_ideal
0,20260824,classical_reference,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001516459000413306,0.00027312499878462404,,,0.020000000000000018,0.0,0.010101010101010055,0.005333333333333301
0,20260824,ideal_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9946666666666667,0.997241379310345,0.28236295899841934,0.15593008400173858,0.28162983400397934,,0.0,0.0,0.0,0.0
256,20261091,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.994,0.9969491525423728,0.42083183299109805,0.12150449999899138,0.420171499994467,1.0,0.0,0.0,0.0,-0.0006666666666667043
256,20261109,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9953333333333333,0.9975438596491228,0.3758013330079848,0.17858145799254999,0.37522445801005233,2.0,0.0,0.0,0.0,0.0006666666666665932
256,20261127,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9946666666666667,0.9972413793103447,0.32435629100655206,0.12159525000606664,0.3237051249889191,3.0,0.0,0.0,0.0,0.0
1024,20261859,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9933333333333334,0.9966666666666667,0.3381631669908529,0.12017845800437499,0.3375546250026673,1.0,0.0,0.0,0.0,-0.0013333333333332975
1024,20261877,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.994,0.9969491525423728,0.3319293750100769,0.11855733400443569,0.3313619580003433,2.0,0.0,0.0,0.0,-0.0006666666666667043
1024,20261895,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9946666666666667,0.9972413793103447,0.3277331669960404,0.12028504100453574,0.32707445800770074,3.0,0.0,0.0,0.0,0.0
4096,20264931,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.994,0.9969491525423728,0.3365812909905799,0.12295591599831823,0.33594216700294055,1.0,0.0,0.0,0.0,-0.0006666666666667043
4096,20264949,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9953333333333333,0.9975438596491228,0.3122305839933688,0.11781733299721964,0.3116616250044899,2.0,0.0,0.0,0.0,0.0006666666666665932
4096,20264967,finite_shot_qsvc,z_reps1,0.9875,0.98,1.0,1.0,0.98989898989899,0.9946666666666667,0.9972413793103447,0.3173508329928154,0.11611220800841693,0.31681212499097455,3.0,0.0,0.0,0.0,0.0
