representation,budget,feature_map_config,evaluation_seconds,pca_components,pca_fit_n,pca_explained_variance,feature_map,reps,entanglement,feature_count,qubit_count,parameter_count,circuit_depth,gate_count,gate_counts,depth_definition,kernel_rows,kernel_columns,diagonal_mean,diagonal_std,diagonal_max_abs_deviation_from_one,off_diagonal_mean,off_diagonal_std,off_diagonal_q05,off_diagonal_median,off_diagonal_q95,within_ckd_similarity,within_not_ckd_similarity,between_class_similarity,kernel_target_alignment,minimum_eigenvalue,effective_rank,condition_number_positive_spectrum
clinical,8,zz_reps1,0.1377924999978859,,,,ZZFeatureMap,1,full,8,8,8,41,100,"{'cx': 56, 'u': 44}",logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000007,1.8158154922279757e-14,9.880984919163893e-14,0.014409729291425798,0.03530293321337207,0.00014631181998759742,0.006054060545402564,0.04660695655161132,0.01156896918312258,0.03454344389030307,0.010890906146199017,0.1559194442716125,0.17178244106373364,80,14.021604880719607
clinical,8,zz_reps2,0.30048224999336526,,,,ZZFeatureMap,2,full,8,8,8,67,200,"{'cx': 112, 'u': 88}",logical depth after one decomposition of the library feature-map circuit,80,80,1.0,1.8651759204580486e-14,4.39648317751562e-14,0.008426889700333964,0.018409269912886557,0.0003115022608294689,0.005255460039903662,0.024694574633152538,0.008063198791236445,0.01236372464642661,0.007582221808396735,0.12183391764670966,0.32323554916194697,80,5.552815378736023
clinical,8,z_reps1,0.044905666989507154,,,,ZFeatureMap,1,none,8,8,8,2,16,{'u': 16},logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000022,4.457479770168692e-15,2.1760371282653068e-14,0.05493687981107614,0.14760801596403003,8.619960097542271e-07,0.00257313969138575,0.28950617972386006,0.030848662356826147,0.24532754698869813,0.019395630583869915,0.3888966659187906,1.0339207677018836e-07,80,89948766.25537276
clinical,6,zz_reps1,0.08266400000138674,,,,ZZFeatureMap,1,full,6,6,6,29,57,"{'cx': 30, 'u': 27}",logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000009,6.1805129595027054e-15,2.2426505097428162e-14,0.029707889010226765,0.0592744040638766,0.0004040527253764331,0.015261801265283332,0.09690382092519535,0.02855193739925778,0.04749940733509548,0.025492375844972846,0.1466528033461973,-9.258028057276907e-17,76,18.075667925509563
clinical,6,zz_reps2,0.13909245900867973,,,,ZZFeatureMap,2,full,6,6,6,49,114,"{'cx': 60, 'u': 54}",logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000009,8.452436389551045e-15,2.3092638912203256e-14,0.023153110462355516,0.04627477819565848,0.001042109095921915,0.014161662190794233,0.06492607183144483,0.02491859422218077,0.03053552898390416,0.01957039735391578,0.1358671852592772,-1.2647279310640784e-15,76,7.356928716943168
clinical,6,z_reps1,0.039555625000502914,,,,ZFeatureMap,1,none,6,6,6,2,12,{'u': 12},logical depth after one decomposition of the library feature-map circuit,80,80,1.0,6.75034771959274e-15,2.8199664825478976e-14,0.06521744358935104,0.15409645384640483,3.107191797239671e-06,0.006669299997577809,0.3179353012461814,0.04710632608839886,0.2458178425633986,0.027634073845988177,0.3754080114586761,-4.118331465718363e-15,60,172545.08339095805
clinical,4,zz_reps1,0.05554275000758935,,,,ZZFeatureMap,1,full,4,4,4,17,26,"{'u': 14, 'cx': 12}",logical depth after one decomposition of the library feature-map circuit,80,80,1.000000000000001,2.5447791494358e-15,9.325873406851315e-15,0.09685746649967597,0.13605836881088373,0.0035307575617556848,0.059375978325150666,0.27635710304752736,0.12316097933785897,0.07593975444872064,0.08144240084327027,0.1267586791566378,-1.2375380524305102e-15,76,35106916709.06444
clinical,4,zz_reps2,0.08152591699035838,,,,ZZFeatureMap,2,full,4,4,4,31,52,"{'u': 28, 'cx': 24}",logical depth after one decomposition of the library feature-map circuit,80,80,1.000000000000001,3.620948610267985e-15,1.2434497875801753e-14,0.09845059827852672,0.12618685958427336,0.0040814658327077225,0.0626961197778508,0.28085382024923805,0.12070104872454043,0.07481726517845945,0.08713306367996831,0.11011488659016194,2.9249454689926404e-15,77,11110879388.406477
clinical,4,z_reps1,0.06918824999593198,,,,ZFeatureMap,1,none,4,4,4,2,8,{'u': 8},logical depth after one decomposition of the library feature-map circuit,80,80,1.0,1.3613819831636985e-15,3.3306690738754696e-15,0.18116869526425028,0.2762841607243676,5.837526233352456e-06,0.029801210292252803,0.8716340715958013,0.25662873213100695,0.22468123895582845,0.1069243608191746,0.2739188377512012,-2.213205011070525e-15,70,52730571088.26754
pca,8,z_reps1,0.04558312500012107,8.0,80.0,0.8343909944737307,ZFeatureMap,1,none,8,8,8,2,16,{'u': 16},logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000004,1.5514085689681328e-14,4.884981308350689e-14,0.011684440348340298,0.04652010313859567,4.356881077905181e-09,0.00012982373724941754,0.0567176458381709,0.006454530498598766,0.04837181814904973,0.005316193830090151,0.18997515757727643,0.1540160645969746,80,20.26533806406696
pca,6,z_reps1,0.03799233300378546,6.0,80.0,0.7441059464596401,ZFeatureMap,1,none,6,6,6,2,12,{'u': 12},logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000009,5.177125435572595e-15,2.708944180085382e-14,0.03239063685840225,0.08586161308809061,1.6819239697543113e-07,0.0014727737207219675,0.18798678758675885,0.022381353822604262,0.11007922961033055,0.018035192772911407,0.2553125307686346,0.03106526678255076,80,176.2127507348413
pca,4,z_reps1,0.03413149999687448,4.0,80.0,0.6253729615063311,ZFeatureMap,1,none,4,4,4,2,8,{'u': 8},logical depth after one decomposition of the library feature-map circuit,80,80,1.0000000000000013,6.296858692829481e-15,2.9531932455029164e-14,0.09996506751959763,0.1714747567693559,1.0026811151417868e-05,0.017843976861226015,0.5061987559774346,0.08280922303367537,0.26829669469160244,0.06515950196988607,0.3332087294763394,1.1798951535036665e-05,80,1001746.0539477469
