representation,budget,metric,mean_delta,median_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_value,fold_pairs
clinical,8,sensitivity,-0.017500000000000005,0.0,-0.034999999999999996,-0.0025000000000000022,0.125,10
clinical,8,specificity,-0.020833333333333336,0.0,-0.041666666666666685,0.0,0.25,10
clinical,8,roc_auc,-0.001041666666666674,0.0,-0.0026041666666666964,0.0,0.25,10
clinical,8,f1,-0.015104078025504397,-0.018524235875270134,-0.0239392063118522,-0.006396051996526684,0.03125,10
clinical,6,sensitivity,-0.025000000000000012,-0.025000000000000022,-0.040000000000000036,-0.010000000000000009,0.03125,10
clinical,6,specificity,-0.008333333333333326,0.0,-0.020833333333333315,0.0,0.5,10
clinical,6,roc_auc,-0.006354166666666661,-0.005729166666666674,-0.01031249999999997,-0.0027083333333333347,0.03125,10
clinical,6,f1,-0.015288235552463215,-0.012646793134598044,-0.02308192039442042,-0.0075927084057165525,0.015625,10
clinical,4,sensitivity,-0.06499999999999996,-0.04999999999999993,-0.08499999999999998,-0.04749999999999993,0.001953125,10
clinical,4,specificity,-0.0625,-0.06250000000000006,-0.1125,-0.012499999999999978,0.0703125,10
clinical,4,roc_auc,-0.027083333333333303,-0.03072916666666664,-0.0369791666666666,-0.01749999999999998,0.001953125,10
clinical,4,f1,-0.05278514784814107,-0.056976293053528804,-0.07277252750087526,-0.031073656267234517,0.005859375,10
pca,8,sensitivity,-0.009999999999999986,-0.012499999999999956,-0.024999999999999956,0.0050000000000000044,0.375,10
pca,8,specificity,-0.23333333333333334,-0.20833333333333337,-0.2833333333333333,-0.1875,0.001953125,10
pca,8,roc_auc,-0.020104166666666656,-0.011979166666666596,-0.031770833333333304,-0.01010416666666667,0.00390625,10
pca,8,f1,-0.07022639632447245,-0.07618986004183648,-0.08468066133396564,-0.055605603575237424,0.001953125,10
pca,6,sensitivity,-0.05000000000000001,-0.050000000000000044,-0.06500000000000002,-0.03500000000000001,0.00390625,10
pca,6,specificity,-0.175,-0.14583333333333331,-0.2375,-0.12083333333333335,0.001953125,10
pca,6,roc_auc,-0.036666666666666695,-0.027083333333333348,-0.05895833333333332,-0.02197916666666668,0.001953125,10
pca,6,f1,-0.07524087964776806,-0.07194349066434341,-0.09192942247247672,-0.05914791040680488,0.001953125,10
pca,4,sensitivity,-0.08249999999999999,-0.07499999999999996,-0.1125,-0.052500000000000026,0.00390625,10
pca,4,specificity,-0.13333333333333336,-0.125,-0.19166666666666668,-0.08333333333333336,0.00390625,10
pca,4,roc_auc,-0.05197916666666667,-0.04791666666666672,-0.07177083333333335,-0.03250000000000004,0.001953125,10
pca,4,f1,-0.0815160517634135,-0.07590849300305863,-0.10330363544446192,-0.060138073508554976,0.001953125,10
