representation,budget,repeat,fold,metric,delta_qsvc_minus_classical
clinical,8,1,1,sensitivity,0.0
clinical,8,1,2,sensitivity,0.0
clinical,8,1,3,sensitivity,-0.050000000000000044
clinical,8,1,4,sensitivity,0.0
clinical,8,1,5,sensitivity,-0.025000000000000022
clinical,8,2,1,sensitivity,0.0
clinical,8,2,2,sensitivity,0.0
clinical,8,2,3,sensitivity,-0.025000000000000022
clinical,8,2,4,sensitivity,0.0
clinical,8,2,5,sensitivity,-0.07499999999999996
clinical,8,1,1,specificity,0.0
clinical,8,1,2,specificity,-0.08333333333333337
clinical,8,1,3,specificity,0.0
clinical,8,1,4,specificity,0.0
clinical,8,1,5,specificity,-0.04166666666666663
clinical,8,2,1,specificity,0.0
clinical,8,2,2,specificity,0.0
clinical,8,2,3,specificity,0.0
clinical,8,2,4,specificity,-0.08333333333333337
clinical,8,2,5,specificity,0.0
clinical,8,1,1,roc_auc,0.0
clinical,8,1,2,roc_auc,0.0
clinical,8,1,3,roc_auc,0.0
clinical,8,1,4,roc_auc,0.0
clinical,8,1,5,roc_auc,-0.002083333333333437
clinical,8,2,1,roc_auc,0.0
clinical,8,2,2,roc_auc,0.0
clinical,8,2,3,roc_auc,-0.0010416666666666075
clinical,8,2,4,roc_auc,0.0
clinical,8,2,5,roc_auc,-0.007291666666666696
clinical,8,1,1,f1,0.0
clinical,8,1,2,f1,-0.024390243902439046
clinical,8,1,3,f1,-0.02564102564102566
clinical,8,1,4,f1,0.0
clinical,8,1,5,f1,-0.025000000000000022
clinical,8,2,1,f1,0.0
clinical,8,2,2,f1,0.0
clinical,8,2,3,f1,-0.012658227848101222
clinical,8,2,4,f1,-0.024390243902439046
clinical,8,2,5,f1,-0.038961038961038974
clinical,6,1,1,sensitivity,0.0
clinical,6,1,2,sensitivity,-0.025000000000000022
clinical,6,1,3,sensitivity,-0.050000000000000044
clinical,6,1,4,sensitivity,0.0
clinical,6,1,5,sensitivity,-0.025000000000000022
clinical,6,2,1,sensitivity,0.0
clinical,6,2,2,sensitivity,0.0
clinical,6,2,3,sensitivity,-0.050000000000000044
clinical,6,2,4,sensitivity,-0.025000000000000022
clinical,6,2,5,sensitivity,-0.07499999999999996
clinical,6,1,1,specificity,0.0
clinical,6,1,2,specificity,0.0
clinical,6,1,3,specificity,0.0
clinical,6,1,4,specificity,0.0
clinical,6,1,5,specificity,-0.04166666666666663
clinical,6,2,1,specificity,0.0
clinical,6,2,2,specificity,-0.04166666666666663
clinical,6,2,3,specificity,0.0
clinical,6,2,4,specificity,0.0
clinical,6,2,5,specificity,0.0
clinical,6,1,1,roc_auc,0.0
clinical,6,1,2,roc_auc,-0.009375000000000022
clinical,6,1,3,roc_auc,-0.01041666666666674
clinical,6,1,4,roc_auc,0.0
clinical,6,1,5,roc_auc,-0.00520833333333337
clinical,6,2,1,roc_auc,0.0
clinical,6,2,2,roc_auc,0.0
clinical,6,2,3,roc_auc,-0.014583333333333282
clinical,6,2,4,roc_auc,-0.017708333333333215
clinical,6,2,5,roc_auc,-0.006249999999999978
clinical,6,1,1,f1,0.0
clinical,6,1,2,f1,-0.012646793134598044
clinical,6,1,3,f1,-0.02564102564102566
clinical,6,1,4,f1,0.0
clinical,6,1,5,f1,-0.025000000000000022
clinical,6,2,1,f1,0.0
clinical,6,2,2,f1,-0.012345679012345734
clinical,6,2,3,f1,-0.02564102564102566
clinical,6,2,4,f1,-0.012646793134598044
clinical,6,2,5,f1,-0.038961038961038974
clinical,4,1,1,sensitivity,-0.02499999999999991
clinical,4,1,2,sensitivity,-0.07500000000000007
clinical,4,1,3,sensitivity,-0.09999999999999998
clinical,4,1,4,sensitivity,-0.04999999999999993
clinical,4,1,5,sensitivity,-0.09999999999999998
clinical,4,2,1,sensitivity,-0.04999999999999993
clinical,4,2,2,sensitivity,-0.02499999999999991
clinical,4,2,3,sensitivity,-0.125
clinical,4,2,4,sensitivity,-0.04999999999999993
clinical,4,2,5,sensitivity,-0.04999999999999993
clinical,4,1,1,specificity,0.04166666666666674
clinical,4,1,2,specificity,-0.16666666666666674
clinical,4,1,3,specificity,-0.125
clinical,4,1,4,specificity,-0.125
clinical,4,1,5,specificity,0.0
clinical,4,2,1,specificity,-0.16666666666666663
clinical,4,2,2,specificity,0.08333333333333337
clinical,4,2,3,specificity,-0.04166666666666674
clinical,4,2,4,specificity,-0.04166666666666663
clinical,4,2,5,specificity,-0.08333333333333337
clinical,4,1,1,roc_auc,-0.008333333333333304
clinical,4,1,2,roc_auc,-0.05729166666666652
clinical,4,1,3,roc_auc,-0.03124999999999989
clinical,4,1,4,roc_auc,-0.021874999999999978
clinical,4,1,5,roc_auc,-0.030208333333333393
clinical,4,2,1,roc_auc,-0.03125
clinical,4,2,2,roc_auc,-0.006250000000000089
clinical,4,2,3,roc_auc,-0.04270833333333324
clinical,4,2,4,roc_auc,-0.033333333333333326
clinical,4,2,5,roc_auc,-0.008333333333333304
clinical,4,1,1,f1,-0.0012820512820512775
clinical,4,1,2,f1,-0.08795845504706257
clinical,4,1,3,f1,-0.09124209124209126
clinical,4,1,4,f1,-0.06141975308641978
clinical,4,1,5,f1,-0.052532833020637826
clinical,4,2,1,f1,-0.07435897435897432
clinical,4,2,2,f1,0.010446343779677125
clinical,4,2,3,f1,-0.08026315789473681
clinical,4,2,4,f1,-0.038607594936708844
