training_fraction,training_n,validation_n,repeat,model,feature_map_config,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,training_wall_seconds,prediction_wall_seconds,train_kernel_seconds,kernel_evaluations_train
0.25,64,64,1,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001438041013898328,0.00030204199720174074,0.0,0
0.25,64,64,1,qsvc,z_reps1,0.953125,0.925,1.0,1.0,0.961038961038961,0.9895833333333334,0.9942556151858479,0.03395650000311434,0.0429874999972526,0.033514541006297804,2016
0.25,64,64,2,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006040000007487833,0.00018599999020807445,0.0,0
0.25,64,64,2,qsvc,z_reps1,0.953125,0.925,1.0,1.0,0.961038961038961,0.99375,0.9964612470862472,0.035380582994548604,0.088392332996591,0.03499933399143629,2016
0.25,64,64,3,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005428330041468143,0.0001761250023264438,0.0,0
0.25,64,64,3,qsvc,z_reps1,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,0.03361016699636821,0.041627041005995125,0.03324550000252202,2016
0.5,128,64,1,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006138750031823292,0.00019095900643151253,0.0,0
0.5,128,64,1,qsvc,z_reps1,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,0.0949530420039082,0.1038985409977613,0.0942752080009086,8128
0.5,128,64,2,classical_rbf_svm,rbf,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,0.0006975419964874163,0.0002324579982087016,0.0,0
0.5,128,64,2,qsvc,z_reps1,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,0.17369391699321568,0.06316900000092573,0.17321304199867882,8128
0.5,128,64,3,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006074169941712171,0.00019195899949409068,0.0,0
0.5,128,64,3,qsvc,z_reps1,0.953125,0.925,1.0,1.0,0.961038961038961,0.9989583333333334,0.9993902439024392,0.1324788749916479,0.061281709000468254,0.132026292005321,8128
0.75,192,64,1,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006704589904984459,0.00022220800747163594,0.0,0
0.75,192,64,1,qsvc,z_reps1,0.953125,0.925,1.0,1.0,0.961038961038961,0.9989583333333334,0.9993902439024392,0.22317837498849258,0.22537425000336953,0.22263674999703653,18336
0.75,192,64,2,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006340410036500543,0.00019933300791308284,0.0,0
0.75,192,64,2,qsvc,z_reps1,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,0.18372345800162293,0.11831379200157244,0.1831934159999946,18336
0.75,192,64,3,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006428330088965595,0.0001982079993467778,0.0,0
0.75,192,64,3,qsvc,z_reps1,0.953125,0.925,1.0,1.0,0.961038961038961,0.9979166666666666,0.9988095238095239,0.2194157920021098,0.08702483400702477,0.21890162500494625,18336
1.0,256,64,1,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007002500060480088,0.00020454100740607828,0.0,0
1.0,256,64,1,qsvc,z_reps1,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.9993902439024392,0.3805029579962138,0.10626812500413507,0.3798790840082802,32640
1.0,256,64,2,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006914589903317392,0.0002045419969363138,0.0,0
1.0,256,64,2,qsvc,z_reps1,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.9993902439024392,0.34230474999640137,0.1454224999906728,0.34160887499456294,32640
1.0,256,64,3,classical_rbf_svm,rbf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000668334003421478,0.0002010000025620684,0.0,0
1.0,256,64,3,qsvc,z_reps1,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.9993902439024392,0.38588429099763744,0.10781124999630265,0.38529395799560007,32640
