representation,selector,budget,model,outer_assessments,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,sensitivity_mean,sensitivity_std,sensitivity_ci95_low,sensitivity_ci95_high,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_ci95_low,runtime_seconds_ci95_high,pca_explained_variance_mean,sensitivity_delta_vs_same_model_full,specificity_delta_vs_same_model_full,roc_auc_delta_vs_same_model_full,meets_sensitivity_tolerance,meets_roc_auc_tolerance,meets_joint_tolerance
full,none,24,logistic_regression,10,0.9921875,0.011048543456039806,0.9842838481378049,1.0,0.9875,0.017677669529663705,0.9748541570204879,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.993638429081467,0.00902747994349492,0.9871805589603763,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.24025109180220167,0.002209537664729456,0.23867048377473515,0.24183169982966818,,0.0,0.0,0.0,True,True,True
full,none,24,random_forest,10,0.99375,0.008068715304598784,0.9879779887845441,0.9995220112154559,1.0,0.0,1.0,1.0,0.9833333333333334,0.02151657414559674,0.9679413034254509,0.9987253632412159,0.9902439024390244,0.012595067792544457,0.981233933712459,0.9992538711655897,0.9950617283950617,0.006375281228324937,0.9905011269408743,0.999622329849249,0.9998958333333332,0.0003294039229342577,0.9996601919622083,1.0,0.999939024390244,0.00019282180854685257,0.9998010879778783,1.0,2.8189806083013536,0.07115194994846069,2.768081569532443,2.869879647070264,,0.0,0.0,0.0,True,True,True
full,none,24,svm_rbf,10,0.990625,0.013176156917368247,0.9811993451550075,1.0,0.985,0.021081851067789214,0.969918952248012,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9923401493021746,0.010794302659925098,0.9846183703492597,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4439283999017789,0.006494246992099809,0.4392826954669011,0.44857410433665673,,0.0,0.0,0.0,True,True,True
full,none,24,xgboost,10,0.98125,0.014358384116760646,0.9709786307634958,0.9915213692365041,0.985,0.017480147469502542,0.9724954557903057,0.9975045442096943,0.975,0.035136418446315335,0.9498649204133532,1.0,0.9854819976771196,0.020355599195297325,0.9709204792175928,1.0,0.9850265651850503,0.01138993016155874,0.9768786999854556,0.9931744303846449,0.999375,0.0011197580205970445,0.9985739733669499,1.0,0.9996384291521487,0.0006478730222496442,0.9991749687114904,1.0,0.28350681680021805,0.009571803371229686,0.2766595611560156,0.2903540724444205,,0.0,0.0,0.0,True,True,True
pca,pca,4,logistic_regression,10,0.9890625,0.012863634411696322,0.9798604102877111,0.9982645897122888,0.9875,0.017677669529663705,0.9748541570204879,1.0,0.9916666666666668,0.01756820922315765,0.9790991268733434,1.0,0.9950609756097561,0.010413369496022486,0.9876116998263522,1.0,0.9911696839650427,0.010411503456040241,0.9837217430662268,0.9986176248638585,0.9996875,0.0007030714142818482,0.9991845530084029,1.0,0.9998199767711963,0.0004034507307816645,0.9995313655047127,1.0,0.24689460420049728,0.012652934144306797,0.23784324037957538,0.25594596802141917,0.5997404201329678,0.0,-0.008333333333333193,-0.00031250000000004885,True,True,True
pca,pca,4,svm_rbf,10,0.9890625,0.010546071214227388,0.9815182951260439,0.996606704873956,0.99,0.017480147469502542,0.9774954557903057,1.0,0.9875,0.020126912147485312,0.9731020743994315,1.0,0.9926829268292682,0.011781607110723133,0.9842548728191793,1.0,0.9912005481625735,0.008569114467851973,0.9850705729499425,0.9973305233752046,0.9996875,0.0007030714142818482,0.9991845530084029,1.0,0.9998199767711963,0.0004034507307816645,0.9995313655047127,1.0,0.45413917079858945,0.004169805559531584,0.45115627159502364,0.45712207000215527,0.5997404201329678,0.0050000000000000044,-0.012499999999999956,-0.00031250000000004885,True,True,True
pca,pca,6,logistic_regression,10,0.990625,0.01092509216843908,0.9828096598689411,0.9984403401310589,0.9925,0.016873713942763838,0.9804292722016704,1.0,0.9875,0.020126912147485312,0.9731020743994315,1.0,0.9926829268292682,0.011781607110723133,0.9842548728191793,1.0,0.9924663709473837,0.008865567801466119,0.9861243257952537,0.9988084160995137,0.9998958333333334,0.00032940392293418744,0.9996601919622087,1.0,0.999939024390244,0.00019282180854686038,0.9998010879778783,1.0,0.2432718753974768,0.002554068747221486,0.24144480468082807,0.24509894611412553,0.7232612242796888,0.0050000000000000044,-0.012499999999999956,-0.00010416666666657193,True,True,True
pca,pca,6,svm_rbf,10,0.990625,0.01092509216843908,0.9828096598689411,0.9984403401310589,0.9875,0.017677669529663705,0.9748541570204879,1.0,0.9958333333333333,0.013176156917368237,0.9864076784883409,1.0,0.9975609756097562,0.007712872341874104,0.9920435191151264,1.0,0.9924038611802324,0.008904162155800768,0.9860342072901976,0.9987735150702671,0.9998958333333334,0.00032940392293418744,0.9996601919622087,1.0,0.999939024390244,0.00019282180854685257,0.9998010879778783,1.0,0.46021041260391937,0.009644659815622812,0.45331103859907584,0.4671097866087629,0.7232612242796888,0.0025000000000000577,-0.004166666666666652,-0.00010416666666657193,True,True,True
pca,pca,8,logistic_regression,10,0.9890625,0.010546071214227388,0.9815182951260439,0.996606704873956,0.9875,0.017677669529663705,0.9748541570204879,1.0,0.9916666666666668,0.01756820922315765,0.9790991268733434,1.0,0.9951219512195122,0.01028382978916547,0.9877653425600058,1.0,0.9911692932789979,0.0085840430859648,0.9850286387763033,0.9973099477816926,1.0,0.0,1.0,1.0,1.0,7.401486830834377e-17,1.0,1.0,0.24627395009883907,0.004216669247583394,0.24325752663238617,0.24929037356529196,0.818898019457291,0.0,-0.008333333333333193,0.0,True,True,True
pca,pca,8,svm_rbf,10,0.9875,0.012325166214790868,0.978683107231013,0.996316892768987,0.985,0.021081851067789214,0.969918952248012,1.0,0.9916666666666668,0.01756820922315765,0.9790991268733434,1.0,0.9951219512195122,0.01028382978916547,0.9877653425600058,1.0,0.9898710134997055,0.010078876489837624,0.9826610195982748,0.9970810074011363,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4578978375007864,0.0047404288870237865,0.4545067389591911,0.4612889360423817,0.818898019457291,0.0,-0.008333333333333193,0.0,True,True,True
