feature,type,missing_count,missing_pct,unique_non_missing,min,max,median,categories,suspected_malformed_values,descriptive_target_relationship
age,numeric_or_ordered,9,2.25,76,2.0,90.0,55.0,,none observed after explicit parser validation,"{""ckd_median"": 59.0, ""not_ckd_median"": 46.0}"
bp,numeric_or_ordered,12,3.0,10,50.0,180.0,80.0,,none observed after explicit parser validation,"{""ckd_median"": 80.0, ""not_ckd_median"": 70.0}"
sg,numeric_or_ordered,47,11.75,5,1.005,1.025,1.02,,none observed after explicit parser validation,"{""ckd_median"": 1.015, ""not_ckd_median"": 1.02}"
al,numeric_or_ordered,46,11.5,6,0.0,5.0,0.0,,none observed after explicit parser validation,"{""ckd_median"": 2.0, ""not_ckd_median"": 0.0}"
su,numeric_or_ordered,49,12.25,6,0.0,5.0,0.0,,none observed after explicit parser validation,"{""ckd_median"": 0.0, ""not_ckd_median"": 0.0}"
rbc,categorical,152,38.0,2,,,,"[""abnormal"", ""normal""]",none observed after explicit parser validation,"{""abnormal"": {""ckd_rate"": 1.0, ""n"": 47}, ""normal"": {""ckd_rate"": 0.29850746268656714, ""n"": 201}}"
pc,categorical,65,16.25,2,,,,"[""abnormal"", ""normal""]",none observed after explicit parser validation,"{""abnormal"": {""ckd_rate"": 1.0, ""n"": 76}, ""normal"": {""ckd_rate"": 0.4555984555984556, ""n"": 259}}"
pcc,categorical,4,1.0,2,,,,"[""notpresent"", ""present""]",none observed after explicit parser validation,"{""notpresent"": {""ckd_rate"": 0.5875706214689266, ""n"": 354}, ""present"": {""ckd_rate"": 1.0, ""n"": 42}}"
ba,categorical,4,1.0,2,,,,"[""notpresent"", ""present""]",none observed after explicit parser validation,"{""notpresent"": {""ckd_rate"": 0.6096256684491979, ""n"": 374}, ""present"": {""ckd_rate"": 1.0, ""n"": 22}}"
bgr,numeric_or_ordered,44,11.0,146,22.0,490.0,121.0,,none observed after explicit parser validation,"{""ckd_median"": 143.5, ""not_ckd_median"": 107.5}"
bu,numeric_or_ordered,19,4.75,118,1.5,391.0,42.0,,none observed after explicit parser validation,"{""ckd_median"": 53.0, ""not_ckd_median"": 33.0}"
sc,numeric_or_ordered,17,4.25,84,0.4,76.0,1.3,,none observed after explicit parser validation,"{""ckd_median"": 2.25, ""not_ckd_median"": 0.9}"
sod,numeric_or_ordered,87,21.75,34,4.5,163.0,138.0,,none observed after explicit parser validation,"{""ckd_median"": 136.0, ""not_ckd_median"": 141.0}"
pot,numeric_or_ordered,88,22.0,40,2.5,47.0,4.4,,none observed after explicit parser validation,"{""ckd_median"": 4.3, ""not_ckd_median"": 4.5}"
hemo,numeric_or_ordered,52,13.0,115,3.1,17.8,12.649999999999999,,none observed after explicit parser validation,"{""ckd_median"": 10.9, ""not_ckd_median"": 15.0}"
pcv,numeric_or_ordered,71,17.75,42,9.0,54.0,40.0,,"{""raw_whitespace_or_tab_variants"": [""'\\t43'"", ""'\\t?'""]}","{""ckd_median"": 33.0, ""not_ckd_median"": 46.0}"
wc,numeric_or_ordered,106,26.5,89,2200.0,26400.0,8000.0,,"{""raw_whitespace_or_tab_variants"": [""'\\t6200'"", ""'\\t8400'"", ""'\\t?'""]}","{""ckd_median"": 8800.0, ""not_ckd_median"": 7500.0}"
rc,numeric_or_ordered,131,32.75,45,2.1,8.0,4.8,,"{""raw_whitespace_or_tab_variants"": [""'\\t?'""]}","{""ckd_median"": 3.9, ""not_ckd_median"": 5.3}"
htn,categorical,2,0.5,2,,,,"[""no"", ""yes""]",none observed after explicit parser validation,"{""no"": {""ckd_rate"": 0.4103585657370518, ""n"": 251}, ""yes"": {""ckd_rate"": 1.0, ""n"": 147}}"
dm,categorical,2,0.5,2,,,,"[""no"", ""yes""]","{""raw_whitespace_or_tab_variants"": [""' yes'"", ""'\\tno'"", ""'\\tyes'""]}","{""no"": {""ckd_rate"": 0.4329501915708812, ""n"": 261}, ""yes"": {""ckd_rate"": 1.0, ""n"": 137}}"
cad,categorical,2,0.5,2,,,,"[""no"", ""yes""]","{""raw_whitespace_or_tab_variants"": [""'\\tno'""]}","{""no"": {""ckd_rate"": 0.5934065934065934, ""n"": 364}, ""yes"": {""ckd_rate"": 1.0, ""n"": 34}}"
appet,categorical,1,0.25,2,,,,"[""good"", ""poor""]",none observed after explicit parser validation,"{""good"": {""ckd_rate"": 0.5299684542586751, ""n"": 317}, ""poor"": {""ckd_rate"": 1.0, ""n"": 82}}"
pe,categorical,1,0.25,2,,,,"[""no"", ""yes""]",none observed after explicit parser validation,"{""no"": {""ckd_rate"": 0.5386996904024768, ""n"": 323}, ""yes"": {""ckd_rate"": 1.0, ""n"": 76}}"
ane,categorical,1,0.25,2,,,,"[""no"", ""yes""]",none observed after explicit parser validation,"{""no"": {""ckd_rate"": 0.56047197640118, ""n"": 339}, ""yes"": {""ckd_rate"": 1.0, ""n"": 60}}"
