representation,budget,model,feature_map_config,qubits,circuit_depth,feature_map_reps,kernel_backend,execution_mode,training_wall_seconds_mean,prediction_wall_seconds_mean,kernel_construction_wall_seconds_mean,model_fit_seconds_mean,kernel_matrix_rows_mean,kernel_matrix_columns_mean,inference_kernel_rows_mean,inference_kernel_columns_mean,kernel_evaluations_train_mean,kernel_evaluations_inference_mean,runtime_ratio_vs_classical,is_frozen_qsvc
clinical,4,classical_rbf_svm,rbf,0,0,0,scikit-learn libsvm RBF,classical CPU,0.0007351374006248,0.0002617957972688,0.0,0.0007351374006248,0,0,0,0,0.0,0.0,1.0,False
clinical,4,qsvc,z_reps1,4,2,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.2721273998991819,0.1019124914993881,0.2715203749001375,0.0006070249990443,256,256,64,256,32640.0,16384.0,370.17216056195525,True
clinical,4,qsvc,zz_reps1,4,17,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.3584218500007409,0.1067373753001447,0.3576885624002898,0.0007332876004511,256,256,64,256,32640.0,16384.0,487.55763167009985,False
clinical,4,qsvc,zz_reps2,4,31,2,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.4312236665995442,0.1326031750009861,0.4304682834015693,0.0007553831979748,256,256,64,256,32640.0,16384.0,586.5892093546638,False
clinical,6,classical_rbf_svm,rbf,0,0,0,scikit-learn libsvm RBF,classical CPU,0.0006586791991139,0.0002036375997704,0.0,0.0006586791991139,0,0,0,0,0.0,0.0,1.0,False
clinical,6,qsvc,z_reps1,6,2,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.3139279499984695,0.1077202373038744,0.3132781000007526,0.0006498499977169,256,256,64,256,32640.0,16384.0,476.6021918117146,True
clinical,6,qsvc,zz_reps1,6,29,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.4559340667998185,0.1420050331988022,0.4550628625991521,0.0008712042006663,256,256,64,256,32640.0,16384.0,692.1944209156323,False
clinical,6,qsvc,zz_reps2,6,49,2,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.6303929500034429,0.1853946624018135,0.629416149800818,0.0009768002026248,256,256,64,256,32640.0,16384.0,957.0561069052891,False
clinical,8,classical_rbf_svm,rbf,0,0,0,scikit-learn libsvm RBF,classical CPU,0.0007463209010893,0.0001968083975953,0.0,0.0007463209010893,0,0,0,0,0.0,0.0,1.0,False
clinical,8,qsvc,z_reps1,8,2,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.3463798334036255,0.113942937599495,0.3457039208980859,0.0006759125055395,256,256,64,256,32640.0,16384.0,464.11648514474587,True
clinical,8,qsvc,zz_reps1,8,41,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.648448166801245,0.1932160915996064,0.6475833417018293,0.0008648250994156,256,256,64,256,32640.0,16384.0,868.8597168520887,False
clinical,8,qsvc,zz_reps2,8,67,2,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,1.0001118585016229,0.2699728585022967,0.9992082082026172,0.0009036502990056,256,256,64,256,32640.0,16384.0,1340.0560764704562,False
pca,4,classical_rbf_svm,rbf,0,0,0,scikit-learn libsvm RBF,classical CPU,0.0006514457985758,0.0002099998979247,0.0,0.0006514457985758,0,0,0,0,0.0,0.0,1.0,False
pca,4,qsvc,z_reps1,4,2,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.2787158458988415,0.0997480168996844,0.278138516600302,0.0005773292985395,256,256,64,256,32640.0,16384.0,427.8419578546274,True
pca,6,classical_rbf_svm,rbf,0,0,0,scikit-learn libsvm RBF,classical CPU,0.0007292499984032,0.0002293958998052,0.0,0.0007292499984032,0,0,0,0,0.0,0.0,1.0,False
pca,6,qsvc,z_reps1,6,2,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.319337191300292,0.108019621000858,0.318700683604402,0.00063650769589,256,256,64,256,32640.0,16384.0,437.89810353037734,True
pca,8,classical_rbf_svm,rbf,0,0,0,scikit-learn libsvm RBF,classical CPU,0.0007244041014928,0.0002294876001542,0.0,0.0007244041014928,0,0,0,0,0.0,0.0,1.0,False
pca,8,qsvc,z_reps1,8,2,1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,0.3480666292001843,0.1176020000013522,0.3472527498975978,0.0008138793025864,256,256,64,256,32640.0,16384.0,480.48682839165815,True
